id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross
"201","The Good Lie","2014","Nov","Drama","PG-13","110","English","Philippe Falardeau","Margaret Nagle","Reese Witherspoon","65","74","18158","20000000","841422"
"202","Catch .44","2011","Jan","Action","R","94","English","Aaron Harvey","Aaron Harvey","Malin Akerman","N/A","47","13986","7000000","1887"
"203","Piranha 3D","2010","Aug","Comedy","R","88","English","Alexandre Aja","Pete Goldfinger","Richard Dreyfuss","53","55","70723","24000000","25001532"
"204","Freakonomics","2010","Sep","Documentary","PG-13","85","English","Heidi Ewing, Alex Gibney, Seth Gordon, Rachel Grady, Eugene Jarecki, Morgan Spurlock","Peter Bull","James Ransone","58","64","5569","3000000","100675"
"205","The Lazarus Effect","2015","Feb","Horror","PG-13","83","English","David Gelb","Luke Dawson","Mark Duplass","31","52","25006","3300000","25799043"
"206","Dreamkiller","2010","Feb","Thriller","R","110","English","Catherine C. Pirotta","Clyde Ware","Dario Deak","N/A","44","106","2500000","15514"
"207","The Wolverine","2013","Jul","Action","PG-13","126","English","James Mangold","Mark Bomback","Hugh Jackman","60","67","310335","120000000","132556852"
"208","Foxcatcher","2014","Jan","Biography","R","134","English","Bennett Miller","E. Max Frye","Steve Carell","81","70","99124","24000000","12096300"
"209","She's Out of My League","2010","Mar","Comedy","R","104","English","Jim Field Smith","Sean Anders","Jay Baruchel","46","64","99224","20000000","31584722"
"210","Inception","2010","Jul","Action","PG-13","148","English","Christopher Nolan","Christopher Nolan","Leonardo DiCaprio","74","88","1388652","160000000","292576195"
"211","RoboCop","2014","Feb","Action","PG-13","117","English","José Padilha","Joshua Zetumer","Joel Kinnaman","52","62","175443","100000000","58607007"
"212","Hall Pass","2011","Feb","Comedy","R","105","English","Bobby Farrelly, Peter Farrelly","Pete Jones","Owen Wilson","45","59","101088","36000000","45045037"
"213","We Need to Talk About Kevin","2011","Oct","Drama","R","112","English","Lynne Ramsay","Lynne Ramsay","Tilda Swinton","68","75","90091","7000000","1738692"
"214","99 Homes","2014","Oct","Drama","R","112","English","Ramin Bahrani","Ramin Bahrani","Michael Shannon","76","72","9370","5000000","1410915"
"215","Hope Springs","2012","Aug","Comedy","PG-13","100","English","David Frankel","Vanessa Taylor","Meryl Streep","65","63","33212","30000000","63536011"
"216","Tower Heist","2011","Nov","Action","PG-13","104","English","Brett Ratner","Adam Cooper","Ben Stiller","59","62","106756","75000000","78009155"
"217","Rampart","2011","Feb","Crime","R","108","English","Oren Moverman","James Ellroy","Woody Harrelson","70","58","19102","12000000","969239"
"218","Charlie St. Cloud","2010","Jul","Drama","PG-13","99","English","Burr Steers","Craig Pearce","Zac Efron","37","65","45285","44000000","31162545"
"219","Season of the Witch","2011","Jan","Action","PG-13","95","English","Dominic Sena","Bragi F. Schut","Nicolas Cage","28","54","74617","40000000","24827228"
"220","Bad Teacher","2011","Jun","Comedy","R","92","English","Jake Kasdan","Gene Stupnitsky","Cameron Diaz","47","57","155882","20000000","100292856"
"221","Iron Man 2","2010","May","Action","PG-13","124","English","Jon Favreau","Justin Theroux","Robert Downey Jr.","57","70","489439","200000000","312433331"
"222","Get Hard","2015","Mar","Comedy","R","100","English","Etan Cohen","Jay Martel","Will Ferrell","34","61","74947","40000000","90353764"
"223","The Water Diviner","2014","Dec","Drama","R","111","English","Russell Crowe","Andrew Knight","Russell Crowe","50","71","49376","22500000","4190530"
"224","Olympus Has Fallen","2013","Mar","Action","R","119","English","Antoine Fuqua","Creighton Rothenberger","Gerard Butler","41","65","187641","70000000","98895417"
"225","Cop Out","2010","Feb","Action","R","107","English","Kevin Smith","Robb Cullen","Bruce Willis","31","56","73846","37000000","44867349"
"226","Despicable Me","2010","Jul","Animation","PG","95","English","Pierre Coffin, Chris Renaud","Cinco Paul","Steve Carell","72","77","368353","69000000","251513985"
"227","Holy Rollers","2010","Dec","Biography","R","89","English","Kevin Asch","Antonio Macia","Jesse Eisenberg","51","59","4129","1000000","302886"
"228","Leap Year","2010","Jan","Comedy","PG","100","English","Anand Tucker","Deborah Kaplan","Amy Adams","33","64","67915","19000000","12561"
"229","Killing Them Softly","2012","Nov","Crime","R","97","English","Andrew Dominik","Andrew Dominik","Brad Pitt","64","62","108287","15000000","15026056"
"230","Secret of the Wings","2012","Aug","Animation","G","75","English","Roberts Gannaway, Peggy Holmes","Roberts Gannaway","Mae Whitman","N/A","72","7643","35000000","67537798"
"231","Touchback","2011","Apr","Drama","PG-13","118","English","Don Handfield","Don Handfield","Brian Presley","56","65","3008","5000000","204068"
"232","Burlesque","2010","Nov","Drama","PG-13","119","English","Steve Antin","Steve Antin","Cher","47","64","59506","55000000","39440655"
