id,title,year,released_month,genre,rated,runtime,language,director,writer,main_actor,metascore,rating,votes,budget,gross,sentiment
250,Bridge of Spies,2015,Oct,Biography,PG-13,142,English,Steven Spielberg,Matt Charman,Mark Rylance,81,77,"112,329",40000000,72051548,35.0
251,The Loft,2014,Jan,Mystery,R,108,English,Erik Van Looy,Bart De Pauw,Karl Urban,24,63,"30,112",14000000,5981749,36.0
252,Need for Speed,2014,Mar,Action,PG-13,132,English,Scott Waugh,George Gatins,Aaron Paul,39,65,"131,930",66000000,43577636,20.0
253,My All American,2015,Nov,Biography,PG,118,English,Angelo Pizzo,Angelo Pizzo,Aaron Eckhart,34,69,"1,222",20000000,2246000,42.0
254,Selma,2014,Jan,Biography,PG-13,128,English,Ava DuVernay,Paul Webb,David Oyelowo,89,75,"56,835",20000000,52066000,27.0
255,God Help the Girl,2014,Sep,Drama,UNRATED,112,English,Stuart Murdoch,Stuart Murdoch,Emily Browning,58,64,"6,024",1850000,97919,100.0
256,Best of Enemies,2015,Jul,Documentary,R,87,English,"Robert Gordon, Morgan Neville",Robert Gordon,Paul Newman,77,76,"2,659",1000000,891997,84.0
257,Get Hard,2015,Mar,Comedy,R,100,English,Etan Cohen,Jay Martel,Will Ferrell,34,61,"74,947",40000000,90353764,-1.0
258,The Water Diviner,2014,Dec,Drama,R,111,English,Russell Crowe,Andrew Knight,Russell Crowe,50,71,"49,376",22500000,4190530,66.0
259,Black or White,2014,Jan,Drama,PG-13,121,English,Mike Binder,Mike Binder,Kevin Costner,45,66,"7,216",9000000,21569041,13.0
260,Hollidaysburg,2014,Sep,Comedy,NOT RATED,88,English,Anna Martemucci,Dan Schoffer,Rachel Keller,N/A,57,753,600000,3709,50.0
261,The Martian,2015,Oct,Adventure,PG-13,144,English,Ridley Scott,Drew Goddard,Matt Damon,80,81,"383,169",108000000,228120056,44.0
262,The Big Short,2015,Dec,Biography,R,130,English,Adam McKay,Charles Randolph,Ryan Gosling,81,79,"106,723",28000000,63660681,22.0
263,Ride Along 2,2016,Jan,Action,PG-13,102,English,Tim Story,Phil Hay,Ice Cube,32,59,"10,186",40000000,82661235,35.0
264,Spy,2015,Jun,Action,R,119,English,Paul Feig,Paul Feig,Jude Law,75,71,"141,626",65000000,110822419,9.0
265,Song One,2014,Jan,Drama,PG-13,86,English,Kate Barker-Froyland,Kate Barker-Froyland,Anne Hathaway,48,58,"6,216",6000000,32251,27.0
266,The Man from U.N.C.L.E.,2015,Aug,Action,PG-13,116,English,Guy Ritchie,Guy Ritchie,Henry Cavill,56,73,"145,170",75000000,45372659,42.0
267,Self/less,2015,Jul,Action,PG-13,117,English,Tarsem Singh,David Pastor,Ryan Reynolds,34,65,"47,857",26000000,12276810,7.0
268,Vacation,2015,Jul,Adventure,R,99,English,"John Francis Daley, Jonathan M. Goldstein",Jonathan M. Goldstein,Ed Helms,34,62,"52,476",31000000,58787835,26.0
269,Unbroken,2014,Dec,Biography,PG-13,137,English,Angelina Jolie,Joel Coen,Jack O'Connell,59,72,"95,444",65000000,115637895,36.0
270,Spotlight,2015,Nov,Biography,R,128,English,Tom McCarthy,Josh Singer,Mark Ruffalo,93,82,"72,189",20000000,39478783,33.0
271,The Giver,2014,Aug,Drama,PG-13,97,English,Phillip Noyce,Michael Mitnick,Jeff Bridges,47,65,"80,230",25000000,43838601,30.0
272,The 33,2015,Nov,Biography,PG-13,127,English,Patricia Riggen,Mikko Alanne,Antonio Banderas,55,69,"14,517",25000000,12188642,26.0
273,Think Like a Man Too,2014,Jun,Comedy,PG-13,106,English,Tim Story,Keith Merryman,Adam Brody,38,57,"14,468",24000000,65028687,38.0
274,Gone Girl,2014,Oct,Crime,R,149,English,David Fincher,Gillian Flynn,Ben Affleck,79,81,"531,783",61000000,167735396,6.0
275,Joy,2015,Dec,Comedy,PG-13,124,English,David O. Russell,David O. Russell,Jennifer Lawrence,56,66,"44,165",60000000,55845747,41.0
276,Transcendence,2014,Apr,Drama,PG-13,119,English,Wally Pfister,Jack Paglen,Johnny Depp,42,63,"165,947",100000000,23022309,29.0
277,Ex Machina,2015,Apr,Drama,R,108,English,Alex Garland,Alex Garland,Domhnall Gleeson,78,77,"248,213",15000000,25442958,34.0
278,50 to 1,2014,Mar,Drama,PG-13,110,English,Jim Wilson,Faith Conroy,Skeet Ulrich,37,66,"1,210",8500000,1056887,67.0
